arm,agent,direction,endpoint_tier,endpoint,method,unit,applicable,note,concentration_basis
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,separates a persistent change in plate behaviour from a transient one that reverses the moment the agent leaves,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),reduce local CNP clearance,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,"a length gain bought with a disorganised plate is dysplasia, which the brief excludes",RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,True,a negative result without penetration is uninterpretable - this is not optional,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,True,"engagement for an added protein means demonstrating its activity in the tissue, not its binding",RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,False,IGFBP cleavage is not this arm's mechanism; its proximal readout is CNP and cGMP,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,False,IGFBP cleavage is not this arm's mechanism; its proximal readout is CNP and cGMP,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,False,IGFBP cleavage is not this arm's mechanism; its proximal readout is CNP and cGMP,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,shows the released ligand actually reached and activated its receptor in this tissue,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,the downstream node; a p-IGF1R change without a p-AKT change means the signal did not propagate,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,stage 66 established that this is measurable to ICC 0.993 and that 2D area is not a substitute,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,2,terminal cell height-to-width ratio,as above,dimensionless,True,separates axial elongation from isotropic swelling. Swelling is not useful elongation,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,2,hypertrophic zone height,axis-registered confocal,micrometres,True,zone-level correlate of the cell-level measure,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,2,number of active proliferative columns,axis-registered confocal,count per section,True,elongation is columns x cells per column x axial contribution per cell; a change in one term is not a change in the product,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,2,cells per proliferative column,axis-registered confocal,count,True,the second term of the same product,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,distinguishes a longer plate built by more cell divisions from one built by bigger terminal cells - different mechanisms with different ceilings,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,"a plate that elongates because terminal cells fail to die on schedule is not the same result, and would predict a different plateau",RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,axial elongation requires matrix to occupy the new volume; a length gain without it predicts a mechanically weak plate,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,the actual output. Cell shape without a length gain is not a result,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,4,plateau length after washout,extended culture past the agent's removal,micrometres,True,distinguishes faster growth from earlier growth. A plate that grows faster and stops sooner has not gained final length,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,4,washout durability of the geometric change,repeat of the tier-2 measures after agent removal,micrometres / dimensionless,True,separates a persistent change in plate behaviour from a transient one that reverses the moment the agent leaves,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
CNP,C-type natriuretic peptide,agonise the receptor NPR3 clearance opposes,4,growth-plate architecture at plateau,"histology, zone boundaries and column organisation",qualitative + zone heights,True,"a length gain bought with a disorganised plate is dysplasia, which the brief excludes",RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system
